dataid,local_15min,air1,clotheswasher_dryg1,dishwasher1,disposal1,furnace1,grid,kitchenapp1,kitchenapp2,microwave1,refrigerator1,solar
9836,926.25,0,0.004,0,0,0.007,-1.003,0,0.007,0.005,0.011,1.255
9836,926.5,0,0.004,0,0,0.007,-0.96,0,0.007,0.006,0.081,1.266
9836,926.75,0,0.004,0,0,0.007,-0.957,0,0.007,0.006,0.08,1.273
9836,927,0,0.004,0,0,0.007,-1.018,0,0.007,0.005,0.011,1.267
9836,927.25,0,0.004,0,0,0.008,-0.996,0,0.007,0.006,0.085,1.268
9836,927.5,0,0.004,0,0,0.007,-0.997,0,0.007,0.006,0.069,1.257
9836,927.75,0,0.004,0,0,0.008,-1.009,0,0.007,0.005,0.011,1.24
9836,928,0,0.004,0,0,0.007,-0.879,0,0.007,0.006,0.094,1.214
9836,928.25,0,0.004,0.001,0,0.008,-0.836,0,0.007,0.006,0.109,1.185
9836,928.5,0,0.004,0,0,0.008,-0.805,0,0.007,0.006,0.105,1.157
9836,928.75,0,0.004,0,0,0.007,-0.855,0,0.007,0.005,0.015,1.127
9836,929,0,0.004,0,0,0.008,-0.796,0,0.007,0.005,0.055,1.087
9836,929.25,0,0.004,0,0,0.007,-0.656,0,0.007,0.005,0.105,1.036
9836,929.5,0,0.004,0,0,0.008,-0.765,0,0.007,0.005,0.012,0.978
9836,929.75,0,0.004,0,0,0.008,-0.646,0,0.007,0.005,0.059,0.915
9836,930,0,0.004,0,0,0.008,-0.543,0,0.007,0.005,0.097,0.849
9836,930.25,0,0.004,0,0,0.008,-0.582,0,0.007,0.005,0.016,0.791
9836,930.5,0,0.004,0,0,0.008,-0.411,0,0.007,0.005,0.107,0.726
9836,930.75,0,0.004,0,0,0.007,-0.327,0,0.007,0.005,0.107,0.646
9836,931,0,0.004,0,0,0.008,-0.323,0,0.007,0.005,0.043,0.565
9836,931.25,0,0.004,0,0,0.008,-0.271,0,0.007,0.005,0.008,0.495
9836,931.5,0.441,0.004,0.001,0,0.158,0.523,0,0.007,0.006,0.071,0.417
9836,931.75,1.818,0.005,0.004,0,0.63,2.337,0,0.007,0.009,0.076,0.337
9836,932,1.808,0.005,0.005,0,0.629,2.395,0,0.007,0.009,0.012,0.261
9836,932.25,1.792,0.005,0.004,0,0.625,2.394,0,0.007,0.009,0.079,0.19
9836,932.5,1.794,0.005,0.004,0,0.626,2.477,0,0.007,0.009,0.094,0.126
9836,932.75,1.788,0.005,0.004,0,0.63,2.638,0,0.007,0.009,0.088,0.063
9836,933,1.776,0.005,0.005,0,0.63,2.579,0,0.007,0.009,0.04,0.003
9836,933.25,1.71,0.005,0.005,0,0.628,2.47,0,0.007,0.009,0.006,-0.009
9836,933.5,0,0.049,0,0,0.064,0.443,0,0.007,0.005,0.042,-0.015
9836,933.75,0,0.041,0,0,0.007,0.403,0,0.007,0.005,0.107,-0.008
9836,934,0,0.1,0,0,0.007,0.504,0,0.007,0.005,0.104,-0.001
9836,934.25,0,0.091,0,0,0.007,0.417,0,0.007,0.005,0.013,0
9836,934.5,0,0.123,0,0,0.007,0.991,0,0.007,0.389,0.085,-0.001
9836,934.75,0,0.263,0.001,0,0.007,0.62,0,0.007,0.005,0.103,-0.001
9836,935,0,0.259,0,0,0.007,0.533,0,0.007,0.005,0.016,0
9836,935.25,0,0.004,0,0,0.007,0.441,0,0.007,0.005,0.055,0
9836,935.5,0,0.004,0,0,0.007,0.471,0,0.007,0.005,0.104,0
9836,935.75,0,0.004,0,0,0.007,0.368,0,0.007,0.005,0.107,0
9836,936,0,0.004,0,0,0.007,0.375,0,0.007,0.005,0.088,0
9836,936.25,0,0.004,0,0,0.007,0.286,0,0.007,0.005,0.011,0
9836,936.5,0,0.004,0,0,0.007,0.327,0,0.007,0.005,0.065,0
9836,936.75,0,0.004,0,0,0.007,0.372,0,0.007,0.005,0.084,0
9836,937,0,0.004,0,0,0.007,0.285,0,0.007,0.005,0.011,0
9836,937.25,0,0.004,0,0,0.007,0.332,0,0.007,0.005,0.073,0
9836,937.5,0,0.004,0,0,0.007,0.395,0,0.007,0.005,0.075,0
9836,937.75,0,0.004,0,0,0.007,0.553,0,0.007,0.005,0.012,0.001
9836,938,0,0.004,0,0,0.007,0.397,0,0.007,0.005,0.083,0
9836,938.25,0,0.004,0,0,0.007,0.395,0,0.007,0.005,0.069,0
9836,938.5,0,0.004,0,0,0.007,0.416,0,0.007,0.005,0.011,0
9836,938.75,0,0.004,0,0,0.007,0.532,0,0.007,0.005,0.092,0
9836,939,0,0.004,0,0,0.007,0.378,0,0.007,0.005,0.06,0
9836,939.25,0,0.004,0,0,0.007,0.32,0,0.007,0.005,0.042,0
9836,939.5,0,0.004,0,0,0.007,0.417,0,0.007,0.005,0.108,0
9836,939.75,0,0.004,0,0,0.007,0.388,0,0.007,0.005,0.1,0
9836,940,0,0.004,0,0,0.007,0.284,0,0.007,0.005,0.011,0
9836,940.25,0,0.004,0,0,0.007,0.342,0,0.007,0.005,0.059,0
9836,940.5,0,0.004,0,0,0.007,0.401,0,0.007,0.005,0.095,0
9836,940.75,0,0.004,0,0,0.007,0.301,0,0.007,0.005,0.012,0
9836,941,0,0.004,0,0,0.007,0.34,0,0.007,0.005,0.059,0
9836,941.25,0,0.004,0,0,0.007,0.394,0,0.007,0.005,0.091,0
9836,941.5,0,0.004,0,0,0.007,0.282,0,0.007,0.005,0.012,0
9836,941.75,0,0.004,0,0,0.007,0.362,0,0.007,0.005,0.067,0
9836,942,0,0.004,0,0,0.007,0.384,0,0.007,0.005,0.084,0
9836,942.25,0,0.004,0,0,0.007,0.274,0,0.007,0.005,0.011,0
9836,942.5,0,0.004,0,0,0.007,0.372,0,0.007,0.005,0.072,0
9836,942.75,0,0.004,0,0,0.007,0.38,0,0.007,0.005,0.106,0
9836,943,0,0.004,0,0,0.007,0.389,0,0.007,0.005,0.105,0
9836,943.25,0,0.004,0,0,0.007,0.311,0,0.007,0.005,0.04,0
9836,943.5,0,0.004,0,0,0.007,0.322,0,0.007,0.005,0.021,0
9836,943.75,0,0.004,0,0,0.007,0.365,0,0.007,0.005,0.103,0
9836,944,0,0.004,0,0,0.007,0.31,0,0.007,0.005,0.036,0
